Precinct,"Harold L. Haugh
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,357","6,357","6,104","12,461"
"Fraser City, Precinct 1",177,177,244,421
"Fraser City, Precinct 2",240,240,405,645
"Fraser City, Precinct 3",366,366,378,744
"Fraser City, Precinct 4",277,277,296,573
"Fraser City, Precinct 5",89,89,87,176
"Fraser City, Precinct 6",324,324,463,787
"Fraser City, Precinct 7",211,211,198,409
"Roseville City, Precinct 1",284,284,269,553
"Roseville City, Precinct 2",450,450,382,832
"Roseville City, Precinct 3",360,360,198,558
"Roseville City, Precinct 4",200,200,136,336
"Roseville City, Precinct 5",276,276,224,500
"Roseville City, Precinct 6",345,345,377,722
"Roseville City, Precinct 7",405,405,335,740
"Roseville City, Precinct 8",399,399,332,731
"Roseville City, Precinct 9",391,391,437,828
"Roseville City, Precinct 10",200,200,203,403
"Roseville City, Precinct 11",297,297,261,558
"Roseville City, Precinct 12",264,264,242,506
"Roseville City, Precinct 13",162,162,134,296
"Roseville City, Precinct 14",220,220,236,456
"Roseville City, Precinct 15",420,420,267,687
Totals,"6,357","6,357","6,104","12,461"

