Precinct,"Allan E. Koski
Democratic","John A. Hamel
Democratic",Write-In,"Total Votes Cast",Undervotes/Overvotes,"Total Ballots Cast","Registered Voters"
Totals,"3,537","3,130",22,"10,543","6,598","17,141","52,319"
"Champion Township Precinct 1",5,61,0,79,18,97,211
"Chocolay Charter Township Precinct 1",118,88,2,430,402,832,"2,526"
"Chocolay Charter Township Precinct 2",207,131,0,469,467,936,"2,438"
"City of Ishpeming Precinct 1",95,173,0,482,166,648,"2,370"
"City of Ishpeming Precinct 2",67,148,0,436,139,575,"2,767"
"City of Marquette Precinct 1",179,77,0,379,257,636,"2,137"
"City of Marquette Precinct 2",178,101,0,453,337,790,"2,148"
"City of Marquette Precinct 3",178,100,1,450,248,698,"1,637"
"City of Marquette Precinct 4",165,85,2,386,210,596,"1,865"
"City of Marquette Precinct 5",195,86,2,434,192,626,"1,972"
"City of Marquette Precinct 6",103,79,1,276,143,419,"2,113"
"City of Marquette Precinct 7",249,111,2,536,280,816,"2,366"
"City of Negaunee Precinct 1",130,98,2,418,211,629,"1,915"
"City of Negaunee Precinct 2",199,128,1,524,234,758,"1,912"
"Ely Township Precinct 1",56,218,0,405,162,567,"1,702"
"Ewing Township Precinct 1",9,3,1,19,28,47,130
"Forsyth Township Precinct 1",169,130,0,460,444,904,"2,495"
"Forsyth Township Precinct 2",37,31,0,128,172,300,812
"Forsyth Township Precinct 3",35,29,0,124,136,260,"1,464"
"Humboldt Township Precinct 1",19,66,0,106,58,164,389
"Ishpeming Township Precinct 1A",68,141,0,338,137,475,"1,390"
"Ishpeming Township Precinct 1B",1,2,0,5,0,5,23
"Ishpeming Township Precinct 2",49,168,0,362,110,472,"1,458"
"Marquette Charter Township Precinct 1",187,137,1,477,311,788,"2,449"
"Marquette Charter Township Precinct 2",90,58,0,220,181,401,"1,162"
"Michigamme Township Precinct 1",19,61,0,106,51,157,294
"Negaunee Township Precinct 1",233,175,0,602,456,"1,058","2,662"
"Powell Township Precinct 1",38,26,0,98,109,207,496
"Powell Township Precinct 2",17,13,0,49,39,88,219
"Republic Township Precinct 1",58,100,0,212,114,326,917
"Richmond Township Precinct 1",77,24,1,167,67,234,639
"Sands Township Precinct 1",116,66,2,303,291,594,"1,909"
"Skandia Township Precinct 1",50,32,2,128,105,233,692
"Tilden Township Precinct 1",44,133,1,248,105,353,853
"Turin Township Precinct 1",11,7,0,31,24,55,96
"Wells Township Precinct 1",10,13,0,28,21,49,168
"W. Branch Township Precinct 1",76,31,1,175,173,348,"1,523"
Totals,"3,537","3,130",22,"10,543","6,598","17,141","52,319"

