Precinct,"Nate Shannon
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,782","6,782","9,458","16,240"
"Shelby Township, Precinct 4",147,147,433,580
"Shelby Township, Precinct 6",124,124,212,336
"Shelby Township, Precinct 9",117,117,175,292
"Shelby Township, Precinct 10",148,148,353,501
"Shelby Township, Precinct 21",105,105,116,221
"Sterling Heights City, Precinct 18",181,181,366,547
"Sterling Heights City, Precinct 19",151,151,179,330
"Sterling Heights City, Precinct 20",182,182,197,379
"Sterling Heights City, Precinct 21",217,217,292,509
"Sterling Heights City, Precinct 22",249,249,307,556
"Sterling Heights City, Precinct 23",240,240,322,562
"Sterling Heights City, Precinct 24",270,270,412,682
"Sterling Heights City, Precinct 25",115,115,162,277
"Sterling Heights City, Precinct 26",267,267,284,551
"Sterling Heights City, Precinct 27",184,184,336,520
"Sterling Heights City, Precinct 31",246,246,349,595
"Sterling Heights City, Precinct 32",207,207,292,499
"Sterling Heights City, Precinct 33",127,127,185,312
"Sterling Heights City, Precinct 34",272,272,343,615
"Sterling Heights City, Precinct 36",281,281,389,670
"Sterling Heights City, Precinct 39",206,206,341,547
"Sterling Heights City, Precinct 40",210,210,189,399
"Sterling Heights City, Precinct 41",130,130,154,284
"Sterling Heights City, Precinct 42",332,332,333,665
"Utica City, Precinct 1",80,80,107,187
"Utica City, Precinct 2",117,117,262,379
"Utica City, Precinct 3",158,158,210,368
"Warren City, Precinct 38",237,237,256,493
"Warren City, Precinct 39",250,250,189,439
"Warren City, Precinct 42",281,281,381,662
"Warren City, Precinct 48",161,161,228,389
"Warren City, Precinct 49",229,229,371,600
"Warren City, Precinct 50",226,226,281,507
"Warren City, Precinct 51",140,140,160,300
"Warren City, Precinct 52",195,195,292,487
Totals,"6,782","6,782","9,458","16,240"

